Aeródromos/Aeropuertos,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total General
LIMA,578036,595194,289117,3777,3230,3744,37834,50034,75651,158087,NA,NA,1794704
CUZCO,160259,143610,74452,3618,881,616,9013,3279,1561,17861,NA,NA,415150
AREQUIPA,86469,77223,38998,771,834,494,1670,1705,13589,21919,NA,NA,243672
IQUITOS,52578,50576,25967,1109,367,1105,8204,15104,17995,25808,NA,NA,198813
PIURA,48348,50773,25515,191,30,17,3411,7850,9550,12723,NA,NA,158408
TARAPOTO,41932,44280,21848,480,136,157,116,157,7627,15382,NA,NA,132115
PUCALLPA,31823,31547,17596,202,223,170,3042,8005,11329,15315,NA,NA,119252
CHICLAYO,31688,30667,14931,13,5,0,2721,6133,8810,10806,NA,NA,105774
TRUJILLO,27125,29204,14234,312,231,198,1845,3785,1323,5672,NA,NA,83929
CAJAMARCA,25080,24948,12152,157,88,213,1209,133,261,4392,NA,NA,68633
JULIACA,20718,22976,12606,119,227,138,2359,836,305,5692,NA,NA,65976
TACNA,22572,20765,10269,94,53,70,1229,411,156,4940,NA,NA,60559
TALARA,18458,18531,9423,-,5,-,705,1909,3091,6735,NA,NA,58857
TUMBES,16727,16795,9310,-,128,4,588,1518,2860,6116,NA,NA,54046
AYACUCHO,14876,14141,7473,23,35,43,659,705,16,1906,NA,NA,39877
PUERTO MALDONADO,14305,14185,7080,174,289,102,-,2,-,3616,NA,NA,39753
JAEN,12498,12244,5654,-,-,-,553,-,321,2124,NA,NA,33394
JAUJA,10687,11103,5077,20,24,10,22,9,872,3055,NA,NA,30879
LAS MALVINAS,3295,3480,2599,1069,733,479,566,551,690,1058,NA,NA,14520
HUANUCO,2350,2771,1212,11,5,-,50,18,30,688,NA,NA,7135
YURIMAGUAS,686,673,444,67,79,100,588,1073,1100,1355,NA,NA,6165
ILO,1810,1674,742,208,104,57,609,12,13,433,NA,NA,5662
SAN LORENZO,586,664,414,73,56,100,365,485,669,853,NA,NA,4265
ATALAYA,852,872,503,9,23,55,207,497,551,660,NA,NA,4229
CONTAMANA,612,661,371,49,72,54,215,436,526,589,NA,NA,3585
PIÁS,687,636,371,34,207,228,245,297,345,441,NA,NA,3491
ANDOAS,1450,1582,121,15,32,4,-,7,15,21,NA,NA,3247
NUEVO MUNDO,608,609,462,139,213,227,140,217,170,285,NA,NA,3070
EL ESTRECHO,185,356,201,9,8,96,302,362,441,512,NA,NA,2472
CHAGUAL,575,592,280,100,32,47,59,163,141,263,NA,NA,2252
TINGO MARIA,781,441,222,-,-,19,29,6,5,316,NA,NA,1819
CABALLOCOCHA,178,223,152,10,18,53,169,318,319,302,NA,NA,1742
CHACHAPOYAS,166,327,323,-,-,0,117,250,9,273,NA,NA,1465
TROMPETEROS/CORRIENTES,-,-,294,485,241,54,95,-,71,-,NA,NA,1240
PUERTO ESPERANZA,268,189,130,3,26,10,81,101,161,219,NA,NA,1188
RODRIGUEZ DE MENDOZA,-,407,193,-,-,-,-,0,113,356,NA,NA,1069
BELLAVISTA,235,179,100,37,19,24,102,164,82,83,NA,NA,1025
SEPAHUA,157,143,88,-,-,2,51,124,222,228,NA,NA,1015
OTROS,598,526,363,64,65,182,383,486,696,862,NA,NA,4225
