DEPARTAMENTO,PROVINCIA,MES,n
AMAZONAS,BAGUA,5,5
AMAZONAS,BAGUA,6,37
AMAZONAS,BAGUA,7,41
AMAZONAS,BAGUA,8,5
AMAZONAS,BAGUA,9,4
AMAZONAS,BAGUA,10,2
AMAZONAS,BAGUA,11,4
AMAZONAS,BAGUA,12,3
AMAZONAS,BONGARA,7,2
AMAZONAS,BONGARA,8,2
AMAZONAS,BONGARA,9,4
AMAZONAS,BONGARA,10,2
AMAZONAS,CHACHAPOYAS,7,2
AMAZONAS,CHACHAPOYAS,8,5
AMAZONAS,CHACHAPOYAS,9,7
AMAZONAS,CHACHAPOYAS,10,4
AMAZONAS,CHACHAPOYAS,11,5
AMAZONAS,CHACHAPOYAS,12,2
AMAZONAS,CONDORCANQUI,5,2
AMAZONAS,CONDORCANQUI,6,10
AMAZONAS,CONDORCANQUI,7,9
AMAZONAS,CONDORCANQUI,11,1
AMAZONAS,LUYA,1,1
AMAZONAS,LUYA,5,2
AMAZONAS,LUYA,6,1
AMAZONAS,LUYA,7,3
AMAZONAS,LUYA,8,1
AMAZONAS,LUYA,9,2
AMAZONAS,LUYA,10,1
AMAZONAS,LUYA,11,1
AMAZONAS,LUYA,12,1
AMAZONAS,RODRIGUEZ DE MENDOZA,6,2
AMAZONAS,RODRIGUEZ DE MENDOZA,7,1
AMAZONAS,RODRIGUEZ DE MENDOZA,8,1
AMAZONAS,RODRIGUEZ DE MENDOZA,9,1
AMAZONAS,RODRIGUEZ DE MENDOZA,10,1
AMAZONAS,RODRIGUEZ DE MENDOZA,12,1
AMAZONAS,UTCUBAMBA,1,1
AMAZONAS,UTCUBAMBA,5,17
AMAZONAS,UTCUBAMBA,6,29
AMAZONAS,UTCUBAMBA,7,8
AMAZONAS,UTCUBAMBA,8,6
AMAZONAS,UTCUBAMBA,9,4
AMAZONAS,UTCUBAMBA,10,5
AMAZONAS,UTCUBAMBA,11,4
AMAZONAS,UTCUBAMBA,12,4
ANCASH,AIJA,6,1
ANCASH,AIJA,7,1
ANCASH,AIJA,8,1
ANCASH,ASUNCION,12,1
ANCASH,BOLOGNESI,1,1
ANCASH,BOLOGNESI,7,2
ANCASH,BOLOGNESI,8,3
ANCASH,BOLOGNESI,9,3
ANCASH,BOLOGNESI,10,2
ANCASH,BOLOGNESI,11,3
ANCASH,BOLOGNESI,12,2
ANCASH,CARHUAZ,4,1
ANCASH,CARHUAZ,5,1
ANCASH,CARHUAZ,6,3
ANCASH,CARHUAZ,7,4
ANCASH,CARHUAZ,8,4
ANCASH,CARHUAZ,9,3
ANCASH,CARHUAZ,10,1
ANCASH,CARHUAZ,11,1
ANCASH,CARHUAZ,12,3
ANCASH,CARLOS FERMIN FITZCARRALD,6,1
ANCASH,CASMA,1,2
ANCASH,CASMA,4,5
ANCASH,CASMA,5,8
ANCASH,CASMA,6,25
ANCASH,CASMA,7,13
ANCASH,CASMA,8,4
ANCASH,CASMA,9,5
ANCASH,CASMA,10,4
ANCASH,CASMA,11,5
ANCASH,CASMA,12,5
ANCASH,CORONGO,8,1
ANCASH,CORONGO,9,2
ANCASH,HUARAZ,1,5
ANCASH,HUARAZ,4,4
ANCASH,HUARAZ,5,6
ANCASH,HUARAZ,6,49
ANCASH,HUARAZ,7,42
ANCASH,HUARAZ,8,43
ANCASH,HUARAZ,9,23
ANCASH,HUARAZ,10,11
ANCASH,HUARAZ,11,3
ANCASH,HUARAZ,12,9
ANCASH,HUARI,1,1
ANCASH,HUARI,5,1
ANCASH,HUARI,6,5
ANCASH,HUARI,7,3
ANCASH,HUARI,8,5
ANCASH,HUARI,9,3
ANCASH,HUARI,10,3
ANCASH,HUARI,12,1
ANCASH,HUARMEY,1,2
ANCASH,HUARMEY,4,2
ANCASH,HUARMEY,6,4
ANCASH,HUARMEY,7,4
ANCASH,HUARMEY,8,10
ANCASH,HUARMEY,9,2
ANCASH,HUARMEY,10,4
ANCASH,HUARMEY,11,1
ANCASH,HUARMEY,12,4
ANCASH,HUAYLAS,1,2
ANCASH,HUAYLAS,5,3
ANCASH,HUAYLAS,6,4
ANCASH,HUAYLAS,7,3
ANCASH,HUAYLAS,8,8
ANCASH,HUAYLAS,9,10
ANCASH,HUAYLAS,10,2
ANCASH,HUAYLAS,12,3
ANCASH,MARISCAL LUZURIAGA,5,1
ANCASH,MARISCAL LUZURIAGA,7,2
ANCASH,OCROS,5,1
ANCASH,OCROS,7,2
ANCASH,PALLASCA,5,1
ANCASH,PALLASCA,6,3
ANCASH,PALLASCA,7,2
ANCASH,PALLASCA,12,2
ANCASH,POMABAMBA,6,4
ANCASH,POMABAMBA,8,1
ANCASH,POMABAMBA,9,2
ANCASH,POMABAMBA,11,1
ANCASH,RECUAY,1,1
ANCASH,RECUAY,6,2
ANCASH,RECUAY,7,2
ANCASH,RECUAY,8,5
ANCASH,RECUAY,9,6
ANCASH,RECUAY,10,1
ANCASH,RECUAY,12,2
ANCASH,SANTA,1,28
ANCASH,SANTA,3,1
ANCASH,SANTA,4,74
ANCASH,SANTA,5,142
ANCASH,SANTA,6,298
ANCASH,SANTA,7,117
ANCASH,SANTA,8,81
ANCASH,SANTA,9,60
ANCASH,SANTA,10,44
ANCASH,SANTA,11,44
ANCASH,SANTA,12,56
ANCASH,SIHUAS,1,2
ANCASH,SIHUAS,4,1
ANCASH,SIHUAS,5,2
ANCASH,SIHUAS,7,1
ANCASH,SIHUAS,8,2
ANCASH,SIHUAS,10,1
ANCASH,YUNGAY,1,1
ANCASH,YUNGAY,5,1
ANCASH,YUNGAY,6,1
ANCASH,YUNGAY,7,1
ANCASH,YUNGAY,8,5
ANCASH,YUNGAY,9,7
