departamento,provincia,mes,n_positivos,n_fallecidos,n_embarcados,n_desembarcados
AMAZONAS,CHACHAPOYAS,1,95,NA,166,169
AMAZONAS,CHACHAPOYAS,4,59,NA,NA,NA
AMAZONAS,CHACHAPOYAS,5,181,NA,NA,NA
AMAZONAS,CHACHAPOYAS,6,130,NA,0,NA
AMAZONAS,CHACHAPOYAS,7,192,2,117,162
AMAZONAS,CHACHAPOYAS,8,493,5,250,312
AMAZONAS,CHACHAPOYAS,9,601,7,9,6
AMAZONAS,CHACHAPOYAS,10,333,4,273,326
AMAZONAS,CHACHAPOYAS,11,118,5,NA,NA
AMAZONAS,CHACHAPOYAS,12,67,2,NA,NA
AMAZONAS,RODRIGUEZ DE MENDOZA,1,60,NA,NA,NA
AMAZONAS,RODRIGUEZ DE MENDOZA,4,2,NA,NA,NA
AMAZONAS,RODRIGUEZ DE MENDOZA,5,1,NA,NA,NA
AMAZONAS,RODRIGUEZ DE MENDOZA,6,31,2,NA,NA
AMAZONAS,RODRIGUEZ DE MENDOZA,7,15,1,NA,NA
AMAZONAS,RODRIGUEZ DE MENDOZA,8,14,1,0,6
AMAZONAS,RODRIGUEZ DE MENDOZA,9,12,1,113,108
AMAZONAS,RODRIGUEZ DE MENDOZA,10,12,1,356,366
AMAZONAS,RODRIGUEZ DE MENDOZA,11,4,NA,NA,NA
AMAZONAS,RODRIGUEZ DE MENDOZA,12,18,1,NA,NA
AREQUIPA,AREQUIPA,1,1031,32,86469,82054
AREQUIPA,AREQUIPA,3,29,1,38998,39469
AREQUIPA,AREQUIPA,4,711,14,771,880
AREQUIPA,AREQUIPA,5,2573,45,834,423
AREQUIPA,AREQUIPA,6,3185,202,494,252
AREQUIPA,AREQUIPA,7,7161,458,1670,1815
AREQUIPA,AREQUIPA,8,16485,344,1705,1742
AREQUIPA,AREQUIPA,9,6998,144,13589,12739
AREQUIPA,AREQUIPA,10,2015,78,21919,20858
AREQUIPA,AREQUIPA,11,1022,65,NA,NA
AREQUIPA,AREQUIPA,12,1446,79,NA,NA
AYACUCHO,HUAMANGA,1,317,5,14876,13489
AYACUCHO,HUAMANGA,3,1,NA,7473,7398
AYACUCHO,HUAMANGA,4,110,NA,23,26
AYACUCHO,HUAMANGA,5,518,13,35,32
AYACUCHO,HUAMANGA,6,839,33,43,34
AYACUCHO,HUAMANGA,7,1929,84,659,677
AYACUCHO,HUAMANGA,8,3121,32,705,737
AYACUCHO,HUAMANGA,9,1860,20,16,9
AYACUCHO,HUAMANGA,10,743,18,1906,2002
AYACUCHO,HUAMANGA,11,491,6,NA,NA
AYACUCHO,HUAMANGA,12,384,13,NA,NA
CAJAMARCA,CAJAMARCA,1,356,3,25080,23640
CAJAMARCA,CAJAMARCA,3,1,NA,12152,11474
CAJAMARCA,CAJAMARCA,4,110,NA,157,76
CAJAMARCA,CAJAMARCA,5,193,5,88,106
CAJAMARCA,CAJAMARCA,6,459,33,213,207
CAJAMARCA,CAJAMARCA,7,1814,62,1209,1318
CAJAMARCA,CAJAMARCA,8,3381,51,133,190
CAJAMARCA,CAJAMARCA,9,1600,32,261,316
CAJAMARCA,CAJAMARCA,10,448,17,4392,4557
CAJAMARCA,CAJAMARCA,11,359,11,NA,NA
CAJAMARCA,CAJAMARCA,12,311,17,NA,NA
CAJAMARCA,JAEN,1,300,5,12498,12473
CAJAMARCA,JAEN,4,39,3,NA,NA
CAJAMARCA,JAEN,5,175,6,NA,NA
CAJAMARCA,JAEN,6,701,43,NA,NA
CAJAMARCA,JAEN,7,2565,48,553,612
CAJAMARCA,JAEN,8,2578,20,NA,NA
CAJAMARCA,JAEN,9,864,17,321,363
CAJAMARCA,JAEN,10,482,11,2124,2208
CAJAMARCA,JAEN,11,292,6,NA,NA
CAJAMARCA,JAEN,12,276,14,NA,NA
CUSCO,CUSCO,1,315,8,160259,149050
CUSCO,CUSCO,3,33,3,74452,68710
CUSCO,CUSCO,4,224,2,3618,1566
CUSCO,CUSCO,5,579,5,881,938
CUSCO,CUSCO,6,360,15,616,1183
CUSCO,CUSCO,7,2099,43,9013,10084
CUSCO,CUSCO,8,8043,156,3279,3109
CUSCO,CUSCO,9,3177,43,1561,2295
CUSCO,CUSCO,10,794,21,17861,19705
CUSCO,CUSCO,11,713,12,NA,NA
CUSCO,CUSCO,12,752,19,NA,NA
CUSCO,LA CONVENCION,1,143,5,3295,3600
CUSCO,LA CONVENCION,1,143,5,3295,673
CUSCO,LA CONVENCION,1,143,5,608,3600
CUSCO,LA CONVENCION,1,143,5,608,673
CUSCO,LA CONVENCION,3,1,NA,2599,1914
CUSCO,LA CONVENCION,3,1,NA,2599,343
CUSCO,LA CONVENCION,3,1,NA,462,1914
CUSCO,LA CONVENCION,3,1,NA,462,343
CUSCO,LA CONVENCION,4,7,1,1069,475
CUSCO,LA CONVENCION,4,7,1,1069,150
CUSCO,LA CONVENCION,4,7,1,139,475
CUSCO,LA CONVENCION,4,7,1,139,150
CUSCO,LA CONVENCION,5,65,NA,733,683
CUSCO,LA CONVENCION,5,65,NA,733,137
CUSCO,LA CONVENCION,5,65,NA,213,683
CUSCO,LA CONVENCION,5,65,NA,213,137
CUSCO,LA CONVENCION,6,271,8,479,463
CUSCO,LA CONVENCION,6,271,8,479,275
CUSCO,LA CONVENCION,6,271,8,227,463
CUSCO,LA CONVENCION,6,271,8,227,275
CUSCO,LA CONVENCION,7,680,14,566,476
CUSCO,LA CONVENCION,7,680,14,566,68
CUSCO,LA CONVENCION,7,680,14,140,476
CUSCO,LA CONVENCION,7,680,14,140,68
CUSCO,LA CONVENCION,8,978,9,551,706
CUSCO,LA CONVENCION,8,978,9,551,200
CUSCO,LA CONVENCION,8,978,9,217,706
CUSCO,LA CONVENCION,8,978,9,217,200
CUSCO,LA CONVENCION,9,501,8,690,962
CUSCO,LA CONVENCION,9,501,8,690,183
CUSCO,LA CONVENCION,9,501,8,170,962
CUSCO,LA CONVENCION,9,501,8,170,183
CUSCO,LA CONVENCION,10,368,3,1058,1081
CUSCO,LA CONVENCION,10,368,3,1058,296
CUSCO,LA CONVENCION,10,368,3,285,1081
CUSCO,LA CONVENCION,10,368,3,285,296
CUSCO,LA CONVENCION,11,249,6,NA,NA
CUSCO,LA CONVENCION,11,249,6,NA,NA
CUSCO,LA CONVENCION,11,249,6,NA,NA
CUSCO,LA CONVENCION,11,249,6,NA,NA
CUSCO,LA CONVENCION,12,254,5,NA,NA
CUSCO,LA CONVENCION,12,254,5,NA,NA
CUSCO,LA CONVENCION,12,254,5,NA,NA
CUSCO,LA CONVENCION,12,254,5,NA,NA
HUANUCO,HUANUCO,1,581,27,2350,2175
HUANUCO,HUANUCO,3,5,NA,1212,1330
HUANUCO,HUANUCO,4,157,NA,11,10
HUANUCO,HUANUCO,5,314,22,5,4
HUANUCO,HUANUCO,6,883,63,NA,NA
HUANUCO,HUANUCO,7,2868,49,50,30
