Aeródromos/Aeropuertos,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total General
LIMA,611036,589061,300952,7147,3731,3075,34180,44401,69835,152301,NA,NA,1815719
CUZCO,149050,150335,68710,1566,938,1183,10084,3109,2295,19705,NA,NA,406975
AREQUIPA,82054,78281,39469,880,423,252,1815,1742,12739,20858,NA,NA,238513
IQUITOS,47357,48454,25771,1188,362,1319,10319,19067,19781,26056,NA,NA,199674
PIURA,48019,50238,24653,65,16,14,3849,8332,9840,14328,NA,NA,159354
TARAPOTO,40385,44049,21848,519,80,144,100,140,8769,15521,NA,NA,131555
PUCALLPA,29820,31180,18394,158,348,304,3320,8438,11421,15198,NA,NA,118581
CHICLAYO,29954,30000,14490,6,73,-,2904,6265,8661,10151,NA,NA,102504
TRUJILLO,26010,29045,13263,200,140,172,1895,3554,1256,5507,NA,NA,81042
CAJAMARCA,23640,25810,11474,76,106,207,1318,190,316,4557,NA,NA,67694
JULIACA,20519,23803,10096,96,346,262,2428,815,442,6527,NA,NA,65334
TACNA,21890,21493,10433,40,108,69,1135,435,173,4885,NA,NA,60661
TALARA,18408,18415,8119,-,1,-,746,2105,3467,7156,NA,NA,58417
TUMBES,16609,16996,8508,-,133,4,638,1548,3088,6374,NA,NA,53898
PUERTO MALDONADO,13426,13942,7924,182,347,174,-,19,1,4018,NA,NA,40033
AYACUCHO,13489,14364,7398,26,32,34,677,737,9,2002,NA,NA,38768
JAEN,12473,12446,5954,-,-,-,612,-,363,2208,NA,NA,34056
JAUJA,10090,11209,4860,-,39,4,12,3,859,3195,NA,NA,30271
LAS MALVINAS,3600,3429,1914,475,683,463,476,706,962,1081,NA,NA,13789
ILO,1618,1606,796,103,78,65,241,224,1541,2159,NA,NA,8431
HUANUCO,2175,2615,1330,10,4,-,30,12,18,652,NA,NA,6846
YURIMAGUAS,731,683,460,88,72,114,611,1133,1130,1352,NA,NA,6374
ATALAYA,878,875,525,5,17,29,185,498,580,664,NA,NA,4256
SAN LORENZO,585,690,428,71,44,56,338,468,670,834,NA,NA,4184
PIÁS,804,700,471,28,221,230,238,351,358,476,NA,NA,3877
ANDOAS,1609,1531,52,8,1,4,-,7,32,18,NA,NA,3262
NUEVO MUNDO,673,625,343,150,137,275,68,200,183,296,NA,NA,2950
CONTAMANA,425,524,321,26,39,20,142,406,459,469,NA,NA,2831
EL ESTRECHO,172,315,237,-,0,47,261,498,461,510,NA,NA,2501
CHAGUAL,595,627,266,-,18,46,63,169,147,196,NA,NA,2127
CHACHAPOYAS,169,346,421,-,-,-,162,312,6,326,NA,NA,1742
TINGO MARIA,698,417,224,-,-,11,18,3,5,360,NA,NA,1736
CABALLOCOCHA,161,192,133,10,7,28,135,280,310,290,NA,NA,1546
PUERTO ESPERANZA,226,215,124,4,3,4,64,194,262,284,NA,NA,1380
RODRIGUEZ DE MENDOZA,-,363,182,-,-,-,-,6,108,366,NA,NA,1025
BELLAVISTA,194,135,113,22,21,18,81,156,73,105,NA,NA,918
SEPAHUA,129,145,65,-,-,2,45,91,220,192,NA,NA,889
TROMPETEROS/CORRIENTES,-,-,214,235,104,71,53,-,70,-,NA,NA,747
OTROS,587,613,352,58,47,172,310,528,776,769,NA,NA,4212
