DEPARTAMENTO,PROVINCIA,MES,n
AMAZONAS,BAGUA,1,25
AMAZONAS,BAGUA,4,39
AMAZONAS,BAGUA,5,177
AMAZONAS,BAGUA,6,723
AMAZONAS,BAGUA,7,1750
AMAZONAS,BAGUA,8,2519
AMAZONAS,BAGUA,9,2026
AMAZONAS,BAGUA,10,499
AMAZONAS,BAGUA,11,279
AMAZONAS,BAGUA,12,113
AMAZONAS,BONGARA,1,11
AMAZONAS,BONGARA,4,14
AMAZONAS,BONGARA,5,9
AMAZONAS,BONGARA,6,22
AMAZONAS,BONGARA,7,58
AMAZONAS,BONGARA,8,89
AMAZONAS,BONGARA,9,111
AMAZONAS,BONGARA,10,42
AMAZONAS,BONGARA,11,22
AMAZONAS,BONGARA,12,22
AMAZONAS,CHACHAPOYAS,1,95
AMAZONAS,CHACHAPOYAS,4,59
AMAZONAS,CHACHAPOYAS,5,181
AMAZONAS,CHACHAPOYAS,6,130
AMAZONAS,CHACHAPOYAS,7,192
AMAZONAS,CHACHAPOYAS,8,493
AMAZONAS,CHACHAPOYAS,9,601
AMAZONAS,CHACHAPOYAS,10,333
AMAZONAS,CHACHAPOYAS,11,118
AMAZONAS,CHACHAPOYAS,12,67
AMAZONAS,CONDORCANQUI,1,2
AMAZONAS,CONDORCANQUI,5,3
AMAZONAS,CONDORCANQUI,6,190
AMAZONAS,CONDORCANQUI,7,1071
AMAZONAS,CONDORCANQUI,8,978
AMAZONAS,CONDORCANQUI,9,456
AMAZONAS,CONDORCANQUI,10,454
AMAZONAS,CONDORCANQUI,11,227
AMAZONAS,CONDORCANQUI,12,95
AMAZONAS,EN INVESTIGACIÓN,1,1
AMAZONAS,EN INVESTIGACIÓN,4,2
AMAZONAS,EN INVESTIGACIÓN,5,24
AMAZONAS,EN INVESTIGACIÓN,6,5
AMAZONAS,EN INVESTIGACIÓN,7,11
AMAZONAS,EN INVESTIGACIÓN,8,18
AMAZONAS,EN INVESTIGACIÓN,9,15
AMAZONAS,EN INVESTIGACIÓN,10,7
AMAZONAS,EN INVESTIGACIÓN,11,1
AMAZONAS,EN INVESTIGACIÓN,12,3
AMAZONAS,LUYA,1,7
AMAZONAS,LUYA,5,22
AMAZONAS,LUYA,6,108
AMAZONAS,LUYA,7,47
AMAZONAS,LUYA,8,150
AMAZONAS,LUYA,9,67
AMAZONAS,LUYA,10,30
AMAZONAS,LUYA,11,17
AMAZONAS,LUYA,12,13
AMAZONAS,RODRIGUEZ DE MENDOZA,1,60
AMAZONAS,RODRIGUEZ DE MENDOZA,4,2
AMAZONAS,RODRIGUEZ DE MENDOZA,5,1
AMAZONAS,RODRIGUEZ DE MENDOZA,6,31
AMAZONAS,RODRIGUEZ DE MENDOZA,7,15
AMAZONAS,RODRIGUEZ DE MENDOZA,8,14
AMAZONAS,RODRIGUEZ DE MENDOZA,9,12
AMAZONAS,RODRIGUEZ DE MENDOZA,10,12
AMAZONAS,RODRIGUEZ DE MENDOZA,11,4
AMAZONAS,RODRIGUEZ DE MENDOZA,12,18
AMAZONAS,UTCUBAMBA,1,39
AMAZONAS,UTCUBAMBA,4,49
AMAZONAS,UTCUBAMBA,5,201
AMAZONAS,UTCUBAMBA,6,553
AMAZONAS,UTCUBAMBA,7,1028
AMAZONAS,UTCUBAMBA,8,898
AMAZONAS,UTCUBAMBA,9,464
AMAZONAS,UTCUBAMBA,10,303
AMAZONAS,UTCUBAMBA,11,153
AMAZONAS,UTCUBAMBA,12,97
ANCASH,AIJA,1,2
ANCASH,AIJA,5,5
ANCASH,AIJA,6,1
ANCASH,AIJA,7,8
ANCASH,AIJA,8,38
ANCASH,AIJA,9,20
ANCASH,AIJA,10,5
ANCASH,AIJA,11,1
ANCASH,AIJA,12,1
ANCASH,ANTONIO RAIMONDI,5,1
ANCASH,ANTONIO RAIMONDI,6,3
ANCASH,ANTONIO RAIMONDI,7,10
ANCASH,ANTONIO RAIMONDI,8,24
ANCASH,ANTONIO RAIMONDI,9,1
ANCASH,ANTONIO RAIMONDI,10,10
ANCASH,ANTONIO RAIMONDI,11,4
ANCASH,ANTONIO RAIMONDI,12,1
ANCASH,ASUNCION,1,3
ANCASH,ASUNCION,4,1
ANCASH,ASUNCION,6,1
ANCASH,ASUNCION,7,2
ANCASH,ASUNCION,8,6
ANCASH,ASUNCION,9,4
ANCASH,ASUNCION,10,12
ANCASH,ASUNCION,11,30
ANCASH,ASUNCION,12,3
ANCASH,BOLOGNESI,1,10
ANCASH,BOLOGNESI,4,3
ANCASH,BOLOGNESI,5,4
ANCASH,BOLOGNESI,6,17
ANCASH,BOLOGNESI,7,24
ANCASH,BOLOGNESI,8,63
ANCASH,BOLOGNESI,9,52
ANCASH,BOLOGNESI,10,38
ANCASH,BOLOGNESI,11,18
ANCASH,BOLOGNESI,12,23
ANCASH,CARHUAZ,1,16
ANCASH,CARHUAZ,4,16
ANCASH,CARHUAZ,5,14
ANCASH,CARHUAZ,6,25
ANCASH,CARHUAZ,7,31
ANCASH,CARHUAZ,8,151
ANCASH,CARHUAZ,9,176
ANCASH,CARHUAZ,10,91
ANCASH,CARHUAZ,11,29
ANCASH,CARHUAZ,12,18
ANCASH,CARLOS FERMIN FITZCARRALD,1,1
ANCASH,CARLOS FERMIN FITZCARRALD,5,4
ANCASH,CARLOS FERMIN FITZCARRALD,6,3
ANCASH,CARLOS FERMIN FITZCARRALD,7,3
ANCASH,CARLOS FERMIN FITZCARRALD,8,8
ANCASH,CARLOS FERMIN FITZCARRALD,9,12
ANCASH,CARLOS FERMIN FITZCARRALD,10,25
ANCASH,CARLOS FERMIN FITZCARRALD,11,1
ANCASH,CASMA,1,33
ANCASH,CASMA,4,40
ANCASH,CASMA,5,68
ANCASH,CASMA,6,179
ANCASH,CASMA,7,155
ANCASH,CASMA,8,194
ANCASH,CASMA,9,106
ANCASH,CASMA,10,141
ANCASH,CASMA,11,62
ANCASH,CASMA,12,18
ANCASH,CORONGO,5,2
ANCASH,CORONGO,6,3
ANCASH,CORONGO,7,15
ANCASH,CORONGO,8,3
ANCASH,CORONGO,9,6
ANCASH,CORONGO,10,1
ANCASH,CORONGO,11,3
ANCASH,CORONGO,12,4
ANCASH,EN INVESTIGACIÓN,1,2
ANCASH,EN INVESTIGACIÓN,4,7
ANCASH,EN INVESTIGACIÓN,5,8
ANCASH,EN INVESTIGACIÓN,6,75
ANCASH,EN INVESTIGACIÓN,7,89
ANCASH,EN INVESTIGACIÓN,8,176
ANCASH,EN INVESTIGACIÓN,9,103
ANCASH,EN INVESTIGACIÓN,10,41
ANCASH,EN INVESTIGACIÓN,11,54
ANCASH,EN INVESTIGACIÓN,12,8
ANCASH,HUARAZ,1,177
ANCASH,HUARAZ,3,1
ANCASH,HUARAZ,4,106
ANCASH,HUARAZ,5,437
ANCASH,HUARAZ,6,732
ANCASH,HUARAZ,7,1338
ANCASH,HUARAZ,8,1779
ANCASH,HUARAZ,9,882
ANCASH,HUARAZ,10,1018
ANCASH,HUARAZ,11,241
ANCASH,HUARAZ,12,200
ANCASH,HUARI,1,4
ANCASH,HUARI,4,28
ANCASH,HUARI,5,40
ANCASH,HUARI,6,17
ANCASH,HUARI,7,16
ANCASH,HUARI,8,77
ANCASH,HUARI,9,23
ANCASH,HUARI,10,23
ANCASH,HUARI,11,25
ANCASH,HUARI,12,25
ANCASH,HUARMEY,1,44
ANCASH,HUARMEY,4,7
ANCASH,HUARMEY,5,39
ANCASH,HUARMEY,6,90
ANCASH,HUARMEY,7,319
ANCASH,HUARMEY,8,475
ANCASH,HUARMEY,9,323
ANCASH,HUARMEY,10,156
ANCASH,HUARMEY,11,78
ANCASH,HUARMEY,12,81
ANCASH,HUAYLAS,1,27
ANCASH,HUAYLAS,4,13
ANCASH,HUAYLAS,5,20
ANCASH,HUAYLAS,6,57
ANCASH,HUAYLAS,7,132
ANCASH,HUAYLAS,8,317
ANCASH,HUAYLAS,9,253
ANCASH,HUAYLAS,10,219
ANCASH,HUAYLAS,11,134
ANCASH,HUAYLAS,12,23
ANCASH,MARISCAL LUZURIAGA,4,3
ANCASH,MARISCAL LUZURIAGA,5,13
ANCASH,MARISCAL LUZURIAGA,6,17
ANCASH,MARISCAL LUZURIAGA,7,11
ANCASH,MARISCAL LUZURIAGA,8,22
ANCASH,MARISCAL LUZURIAGA,9,39
ANCASH,MARISCAL LUZURIAGA,10,20
ANCASH,MARISCAL LUZURIAGA,11,31
ANCASH,MARISCAL LUZURIAGA,12,13
ANCASH,OCROS,5,2
ANCASH,OCROS,6,5
ANCASH,OCROS,7,14
ANCASH,OCROS,8,28
ANCASH,OCROS,9,15
ANCASH,OCROS,10,12
ANCASH,OCROS,11,4
ANCASH,OCROS,12,3
ANCASH,PALLASCA,1,2
ANCASH,PALLASCA,5,2
ANCASH,PALLASCA,6,16
ANCASH,PALLASCA,7,13
ANCASH,PALLASCA,8,8
ANCASH,PALLASCA,9,26
ANCASH,PALLASCA,10,9
ANCASH,PALLASCA,11,7
ANCASH,PALLASCA,12,2
ANCASH,POMABAMBA,1,3
ANCASH,POMABAMBA,4,16
ANCASH,POMABAMBA,5,16
ANCASH,POMABAMBA,6,45
ANCASH,POMABAMBA,7,40
ANCASH,POMABAMBA,8,82
ANCASH,POMABAMBA,9,70
ANCASH,POMABAMBA,10,53
ANCASH,POMABAMBA,11,23
ANCASH,POMABAMBA,12,13
ANCASH,RECUAY,1,4
ANCASH,RECUAY,4,3
ANCASH,RECUAY,5,19
ANCASH,RECUAY,6,10
ANCASH,RECUAY,7,42
ANCASH,RECUAY,8,118
ANCASH,RECUAY,9,58
ANCASH,RECUAY,10,52
ANCASH,RECUAY,11,14
ANCASH,RECUAY,12,9
ANCASH,SANTA,1,1278
ANCASH,SANTA,3,12
ANCASH,SANTA,4,699
ANCASH,SANTA,5,3061
ANCASH,SANTA,6,2243
ANCASH,SANTA,7,1956
ANCASH,SANTA,8,2661
ANCASH,SANTA,9,1953
ANCASH,SANTA,10,1710
ANCASH,SANTA,11,1119
ANCASH,SANTA,12,1577
